Artist,Album,Play count,MBID,Release year,Release type
DIIV,Oshin,52,15fc821b-feed-4fd7-9f01-12f8463a1c1e,2012,Album
Cheatahs,Cheatahs,49,e5351545-49b0-4491-8b49-bf81c63a7f3c,2014,Album
Adrianne Lenker,songs,46,46b96d25-e893-4bac-a2b2-379a32f591b3,2020,Album
Adorable,Against Perfection,44,69b75328-d791-4f2b-a38f-faaab61847d3,1993,Album
Duster,Stratosphere,43,79acc86e-b12b-4a4a-ad7d-7c9f928438a3,1998,Album
A Flock of Seagulls,Listen,42,44f5454d-6ebd-4462-9f38-43ea69e2f59c,1983,Album
The Comsat Angels,Sleep No More,40,3b35ed34-38b4-4857-b0d7-103d264081eb,1981,Album
Hoops,Routines,38,11b60b4b-9710-4a3a-8ebc-0c066c8e1f93,2017,Album
Boards of Canada,Music Has the Right to Children,37,148a35c6-e53c-3790-a1ab-f6699bea96ad,1998,Album
Cocteau Twins,Heaven or Las Vegas,37,151d2e60-8dad-4934-a8a3-6cccbd2f5d31,1990,Album
The Church,The Blurred Crusade,36,3cf5113c-475d-40a6-ad1f-32ef87d00828,1982,Album
Xxtarlit⚸,A Thousand Things I Could Tell You,35,176ba2c8-2e7a-400e-9bf4-4b68b0bef960,2020,Album
Aphex Twin,Selected Ambient Works 85-92,34,0c8b4425-795e-4772-8cbf-e3f9694110cc,1992,Album
The The,Soul Mining,34,118643b5-0ed5-4bcb-972c-72127448eb19,1983,Album
Black Marble,It's Immaterial,32,a163117f-b362-404b-9733-e1dafbf4cda3,2016,Album
Snail Mail,Valentine,32,006c20a6-8f0a-4783-883b-f905cd6dd790,2021,Album
The Radio Dept.,Pet Grief,31,18056805-33f5-3e99-aa4b-5f5919c4f8af,2006,Album
Asylum Party,Borderline,30,0ee0a320-1380-42b7-a6f4-875a754833b1,1989,Album
Men I Trust,Oncle Jazz,30,0633a08c-660e-4992-ba7b-a62bcf82f43b,2019,Album
The Comsat Angels,Fiction,30,0d73ff91-1720-4a73-8f76-f3a713c10242,1982,Album
The Smiths,The Smiths,29,00a0179e-960f-47d1-8795-5e1568126750,1984,Album
Sad Lovers and Giants,Epic Garden Music,28,0e9a8cc4-5179-4d39-8132-26ec4b122af6,1982,Album
Wire,A Bell Is a Cup Until It Is Struck,28,1d3f5fe8-3923-4276-bd60-c7e324e96b6a,1988,Album
Fleetwood Mac,Tango in the Night,27,2494fb25-071e-39fa-aaec-2ea85f86b82e,1987,Album
Pink Floyd,The Wall,26,02a26364-1e0c-434b-bbba-c5d28fa91a4a,1979,Album
Shelly,Shelly,26,7f28090f-23ea-41a8-9ef9-9fbea6adfbb4,2020,Single
Neutral Milk Hotel,On Avery Island,25,1d838ace-d401-332e-bdae-c2cb59e43f53,1996,Album
Pavement,Wowee Zowee,25,1328e454-3c87-4e74-b870-f61f06018cd4,1995,Album
Ro-Cee,Da Persiadic Gee,25,e6765c4a-e56c-42f3-acec-36f26225e988,1996,Album
Section 25,From The Hip,25,0a4d52e1-a328-421d-84bd-bc8aaa67d77d,1984,Album
The Smiths,The Troy Tate Sessions,24,3393d0df-b11f-4d04-9772-a4cff72de07c,,Other
Violet,Bed of Roses,24,67de4d26-cc90-405b-839b-7b7f84ff71be,2019,Album
Men I Trust,Untourable Album,23,4628d469-8a90-444c-8d38-b8d6b17e54cf,2021,Album
Alex G,TRICK,22,141c833b-c3c4-4e12-8157-bf54356c264e,2012,Album
ATB,Movin' Melodies,22,0398e7ea-b9af-3aed-b93e-dcb2073218fd,1999,Album
Guided by Voices,Bee Thousand,22,1f4b084d-086d-3cd9-b3ca-c60fd4b13611,1994,Album
Infinity Girl,"Somewhere Nice, Someday",22,0b6bce30-4019-4c94-aaff-d67128ba16f1,2017,Album
Pylon,Gyrate,22,032066e3-fdd2-3ed5-969a-172c92288c2d,1980,Album
The Radio Dept.,Running Out Of Love,22,a34856c5-23c4-42f0-877a-2d179ef8b0a8,2016,Album
Phoebe Bridgers,Stranger in the Alps,21,2b4862c2-bac0-4320-b65d-1daae210425a,2017,Album
Swervedriver,Mezcal Head,21,16b466f0-ae6a-40cf-98f9-ff71523d9367,1993,Album
Johnny Hates Jazz,Turn Back The Clock,19,0f5db192-738f-449d-af94-283287c80a2c,1987,Single
Los Bitchos,Let The Festivities Begin!,19,4bb70826-b044-46b9-a5c3-1afa1f964b69,2022,Album
Modern Eon,Fiction Tales,19,31976e75-3a49-4ec4-a51a-f2078e5e626e,1981,Album
PinkPantheress,to hell with it,19,2ec40945-e292-48bf-a665-6a3ef5cc8f5f,2021,Album
Roxy Music,Avalon,19,015752a9-0cc8-4852-ab55-86a503b0a2dc,1982,Album
Slowdive,Just for a Day,19,028edcd8-fe6f-495b-8dfa-d23d6e0a1a46,1991,Album
Talking Heads,Fear of Music,19,00f09140-c4d5-40fe-9256-cee44fc1a6d6,1979,Album
Blood Orange,Freetown Sound,18,06217f40-785f-4765-a382-15259baa8251,2016,Album
