Artist,Album,Play count,Release year,Release type
The Smiths,Louder Than Bombs,1243,1987,Compilation
Slowdive,Just for a Day,1205,1991,Album
The Smiths,The Queen Is Dead,955,1986,Album
The Smiths,The Smiths,942,1984,Album
Slowdive,Souvlaki,917,1993,Album
The Chameleons,What Does Anything Mean? Basically,888,1985,Album
New Order,Substance 1987,839,1987,Compilation
Slowdive,I Saw the Sun,822,1996,Compilation
The Chameleons,Strange Times,819,1986,Album
The Chameleons,Script of the Bridge,760,1983,Album
Joy Division,Substance,719,1988,Compilation
Yo La Tengo,And Then Nothing Turned Itself Inside-Out,699,2000,Album
The Field Mice,Where'd You Learn to Kiss That Way?,663,1998,Compilation
Ride,Nowhere,648,1990,Album
My Bloody Valentine,Loveless,612,1991,Album
The Smiths,Meat Is Murder,608,1985,Album
Yo La Tengo,I Can Hear the Heart Beating as One,607,1997,Album
Joy Division,Unknown Pleasures,575,1979,Album
New Order,Technique,550,1989,Album
New Order,Low-Life,518,1985,Unknown
Pixies,Doolittle,515,1989,Album
The Stone Roses,The Stone Roses,500,1989,Album
The Radio Dept.,Pet Grief,482,2006,Album
The Cat's Miaow,A Kiss And A Cuddle,479,1996,Album
The Wake,Here Comes Everybody,478,1985,Album
New Order,Power Corruption & Lies,478,1983,Album
The Jesus and Mary Chain,Psychocandy,472,1985,Album
Black Tambourine,Black Tambourine,463,2010,Compilation
The Microphones,The Glow Pt. 2,442,2001,Album
Morrissey,Viva Hate,426,1988,Album
Wild Nothing,Gemini,420,2010,Album
The Radio Dept.,Lesser Matters,419,2003,Album
Galaxie 500,On Fire,416,1989,Album
The Smiths,Strangeways Here We Come,416,1987,Album
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,415,1995,Album
The Radio Dept.,Clinging to a Scheme,392,2010,Album
Joy Division,Closer,390,1980,Album
New Order,Get Ready,357,2001,Album
The Radio Dept.,Passive Aggressive: Singles 2002-2010,355,2011,Compilation
The Radio Dept.,Pulling Our Weight,354,,
Bad Lieutenant,Never Cry Another Tear,353,2009,Album
New Order,Brotherhood,351,1986,Album
Blueboy,Unisex,345,1994,Album
Neutral Milk Hotel,In the Aeroplane Over the Sea,339,1998,Album
Radiohead,OK Computer,337,1997,Album
A Flock of Seagulls,A Flock Of Seagulls,319,1982,Album
The Pains of Being Pure at Heart,The Pains of Being Pure at Heart,318,2009,Album
New Order,Movement,313,1981,Album
New Order,Singles,305,2005,Compilation
The Stone Roses,Turns Into Stone,304,1992,Compilation
M83,Saturdays = Youth,304,2008,Album
Black Marble,It's Immaterial,303,2016,Album
DIIV,Oshin,300,2012,Album
The Magnetic Fields,69 Love Songs,300,1999,Album
Wild Nothing,Golden Haze,294,2010,EP
The Fixx,Reach The Beach,294,1982,Album
The Chameleons,The Fan and the Bellows,292,1986,Unknown
Killing Joke,Night Time,285,1985,Album
The Smiths,Hatful of Hollow,285,1984,Compilation
The Cure,Kiss Me Kiss Me Kiss Me,284,1987,Album
Pavement,Crooked Rain Crooked Rain,281,1994,Album
